Year,Actor_Name,Film_Title,Winner,Nominated
1928,Emil Jannings,The Last Command,Yes,Yes
1928,Emil Jannings,The Way of All Flesh,Yes,Yes
1928,Richard Barthelmess,The Noose,No,Yes
1928,Richard Barthelmess,The Patent Leather Kid,No,Yes
1928,Charlie Chaplin,The Circus,No,Yes
1929,Warner Baxter,In Old Arizona,Yes,Yes
1929,George Bancroft,Thunderbolt,No,Yes
1929,Chester Morris,Alibi,No,Yes
1929,Paul Muni,The Valiant,No,Yes
1929,Lewis Stone,The Patriot,No,Yes
1930,George Arliss,Disraeli,Yes,Yes
1930,George Arliss,The Green Goddess,No,Yes
1930,Wallace Beery,The Big House,No,Yes
1930,Maurice Chevalier,The Big Pond,No,Yes
1930,Maurice Chevalier,The Love Parade,No,Yes
1930,Ronald Colman,Bulldog Drummond,No,Yes
1930,Ronald Colman,Condemned,No,Yes
1930,Lawrence Tibbett,The Rogue Song,No,Yes
1931,Lionel Barrymore,A Free Soul,Yes,Yes
1931,Jackie Cooper,Skippy,No,Yes
1931,Richard Dix,Cimarron,No,Yes
1931,Fredric March,The Royal Family of Broadway,No,Yes
1931,Adolphe Menjou,The Front Page,No,Yes
1932,Wallace Beery,The Champ,Yes,Yes
1932,Fredric March,Dr. Jekyll and Mr. Hyde,Yes,Yes
1932,Alfred Lunt,The Guardsman,No,Yes
1933,Charles Laughton,The Private Life of Henry VIII,Yes,Yes
1933,Leslie Howard,Berkeley Square,No,Yes
1933,Paul Muni,I Am a Fugitive from a Chain Gang,No,Yes
1934,Clark Gable,It Happened One Night,Yes,Yes
1934,Frank Morgan,The Affairs of Cellini,No,Yes
1934,William Powell,The Thin Man,No,Yes
1935,Victor McLaglen,The Informer,Yes,Yes
1935,Clark Gable,Mutiny on the Bounty,No,Yes
1935,Clark Gable,Captain William Bligh,No,Yes
1935,Paul Muni,Black Fury,No,Yes
1935,Franchot Tone,Mutiny on the Bounty,No,Yes
1936,Paul Muni,The Story of Louis Pasteur,Yes,Yes
1936,Gary Cooper,Mr. Deeds Goes to Town,No,Yes
1936,Walter Huston,Dodsworth,No,Yes
1936,William Powell,My Man Godfrey,No,Yes
1936,Spencer Tracy,San Francisco,No,Yes
1937,Spencer Tracy,Captains Courageous,Yes,Yes
1937,Charles Boyer,Conquest,No,Yes
1937,Fredric March,A Star Is Born,No,Yes
1937,Robert Montgomery,Night Must Fall,No,Yes
1937,Paul Muni,The Life of Emile Zola,No,Yes
1938,Spencer Tracy,Boys Town,Yes,Yes
1938,Charles Boyer,Algiers,No,Yes
1938,James Cagney,Angels with Dirty Faces,No,Yes
1938,Robert Donat,The Citadel,No,Yes
1938,Leslie Howard,Pygmalion,No,Yes
1939,Robert Donat,"Goodbye, Mr. Chips",Yes,Yes
1939,Clark Gable,Gone with the Wind,No,Yes
1939,Laurence Olivier,Wuthering Heights,No,Yes
1939,Mickey Rooney,Babes in Arms,No,Yes
1939,James Stewart,Mr. Smith Goes to Washington,No,Yes
1940,James Stewart,The Philadelphia Story,Yes,Yes
1940,Charlie Chaplin,The Great Dictator,No,Yes
1940,Henry Fonda,The Grapes of Wrath,No,Yes
1940,Raymond Massey,Abe Lincoln in Illinois,No,Yes
1940,Laurence Olivier,Rebecca,No,Yes
1941,Gary Cooper,Sergeant York,Yes,Yes
1941,Cary Grant,Penny Serenade,No,Yes
1941,Walter Huston,The Devil and Daniel Webster,No,Yes
1941,Robert Montgomery,Here Comes Mr. Jordan,No,Yes
1941,Orson Welles,Citizen Kane,No,Yes
1942,James Cagney,Yankee Doodle Dandy,Yes,Yes
1942,Ronald Colman,Random Harvest,No,Yes
1942,Gary Cooper,The Pride of the Yankees,No,Yes
1942,Walter Pidgeon,Mrs. Miniver,No,Yes
1942,Monty Woolley,The Pied Piper,No,Yes
1943,Paul Lukas,Watch on the Rhine,Yes,Yes
1943,Humphrey Bogart,Casablanca,No,Yes
1943,Gary Cooper,For Whom the Bell Tolls,No,Yes
1943,Walter Pidgeon,Madame Curie,No,Yes
1943,Mickey Rooney,The Human Comedy,No,Yes
1944,Bing Crosby,Going My Way,Yes,Yes
1944,Charles Boyer,Gaslight,No,Yes
1944,Barry Fitzgerald,Going My Way,No,Yes
1944,Cary Grant,None but the Lonely Heart,No,Yes
1944,Alexander Knox,Wilson,No,Yes
1945,Ray Milland,The Lost Weekend,Yes,Yes
1945,Bing Crosby,The Bells of St. Mary's,No,Yes
1945,Gene Kelly,Anchors Aweigh,No,Yes
1945,Gregory Peck,The Keys of the Kingdom,No,Yes
1945,Cornel Wilde,A Song to Remember,No,Yes
1946,Fredric March,The Best Years of Our Lives,Yes,Yes
1946,Laurence Olivier,Henry V,No,Yes
1946,Larry Parks,The Jolson Story,No,Yes
1946,Gregory Peck,The Yearling,No,Yes
1946,James Stewart,It's a Wonderful Life,No,Yes
1947,Ronald Colman,A Double Life,Yes,Yes
1947,John Garfield,Body and Soul,No,Yes
1947,Gregory Peck,Gentleman's Agreement,No,Yes
1947,William Powell,Life with Father,No,Yes
1947,Michael Redgrave,Mourning Becomes Electra,No,Yes
1948,Laurence Olivier,Hamlet,Yes,Yes
1948,Lew Ayres,Johnny Belinda,No,Yes
1948,Montgomery Clift,The Search,No,Yes
1948,Dan Dailey,When My Baby Smiles at Me,No,Yes
1948,Clifton Webb,Sitting Pretty,No,Yes
1949,Broderick Crawford,All the King's Men,Yes,Yes
1949,Kirk Douglas,Champion,No,Yes
1949,Gregory Peck,Twelve O'Clock High,No,Yes
1949,Richard Todd,The Hasty Heart,No,Yes
