Year,Actor_Name,Film_Title,Winner,Nominated
1928,Janet Gaynor,7th Heaven,Yes,Yes
1928,Janet Gaynor,Street Angel,Yes,Yes
1928,Janet Gaynor,Sunrise: A Song of Two Humans,Yes,Yes
1928,Louise Dresser,A Ship Comes In,No,Yes
1928,Gloria Swanson,Sadie Thompson,No,Yes
1929,Mary Pickford,Coquette,Yes,Yes
1929,Ruth Chatterton,Madame X,No,Yes
1929,Betty Compson,The Barker,No,Yes
1929,Jeanne Eagels,The Letter,No,Yes
1929,Corinne Griffith,The Divine Lady,No,Yes
1929,Bessie Love,The Broadway Melody,No,Yes
1930,Norma Shearer,The Divorcee,Yes,Yes
1930,Nancy Carroll,The Devil's Holiday,No,Yes
1930,Ruth Chatterton,Sarah and Son,No,Yes
1930,Greta Garbo,Anna Christie,No,Yes
1930,Greta Garbo,Romance,No,Yes
1930,Norma Shearer,Their Own Desire,No,Yes
1930,Gloria Swanson,The Trespasser,No,Yes
1931,Marie Dressler,Min and Bill,Yes,Yes
1931,Marlene Dietrich,Morocco,No,Yes
1931,Irene Dunne,Cimarron,No,Yes
1931,Ann Harding,Holiday,No,Yes
1931,Norma Shearer,A Free Soul,No,Yes
1932,Helen Hayes,The Sin of Madelon Claudet,Yes,Yes
1932,Marie Dressler,Emma,No,Yes
1932,Lynn Fontanne,The Guardsman,No,Yes
1933,Katharine Hepburn,Morning Glory,Yes,Yes
1933,May Robson,Lady for a Day,No,Yes
1933,Diana Wynyard,Cavalcade,No,Yes
1934,Claudette Colbert,It Happened One Night,Yes,Yes
1934,Bette Davis,Of Human Bondage,No,Yes
1934,Grace Moore,One Night of Love,No,Yes
1934,Norma Shearer,The Barretts of Wimpole Street,No,Yes
1935,Bette Davis,Dangerous,Yes,Yes
1935,Elisabeth Bergner,Escape Me Never,No,Yes
1935,Claudette Colbert,Private Worlds,No,Yes
1935,Katharine Hepburn,Alice Adams,No,Yes
1935,Miriam Hopkins,Becky Sharp,No,Yes
1935,Merle Oberon,The Dark Angel,No,Yes
1936,Luise Rainer,The Great Ziegfeld,Yes,Yes
1936,Irene Dunne,Theodora Goes Wild,No,Yes
1936,Gladys George,Valiant Is the Word for Carrie,No,Yes
1936,Carole Lombard,My Man Godfrey,No,Yes
1936,Norma Shearer,Romeo and Juliet,No,Yes
1937,Luise Rainer,The Good Earth,Yes,Yes
1937,Irene Dunne,The Awful Truth,No,Yes
1937,Greta Garbo,Camille,No,Yes
1937,Janet Gaynor,A Star Is Born,No,Yes
1937,Barbara Stanwyck,Stella Dallas,No,Yes
1938,Bette Davis,Jezebel,Yes,Yes
1938,Fay Bainter,White Banners,No,Yes
1938,Wendy Hiller,Pygmalion,No,Yes
1938,Norma Shearer,Marie Antoinette,No,Yes
1938,Margaret Sullavan,Three Comrades,No,Yes
1939,Vivien Leigh,Gone with the Wind,Yes,Yes
1939,Bette Davis,Dark Victory,No,Yes
1939,Irene Dunne,Love Affair,No,Yes
1939,Greta Garbo,Ninotchka,No,Yes
1939,Greer Garson,"Goodbye, Mr. Chips",No,Yes
1940,Ginger Rogers,Kitty Foyle,Yes,Yes
1940,Bette Davis,The Letter,No,Yes
1940,Joan Fontaine,Rebecca,No,Yes
1940,Katharine Hepburn,The Philadelphia Story,No,Yes
1940,Martha Scott,Our Town,No,Yes
1941,Joan Fontaine,Suspicion,Yes,Yes
1941,Bette Davis,The Little Foxes,No,Yes
1941,Olivia de Havilland,Hold Back the Dawn,No,Yes
1941,Greer Garson,Blossoms in the Dust,No,Yes
1941,Barbara Stanwyck,Ball of Fire,No,Yes
1942,Greer Garson,Mrs. Miniver,Yes,Yes
1942,Bette Davis,"Now, Voyager",No,Yes
1942,Katharine Hepburn,Woman of the Year,No,Yes
1942,Rosalind Russell,My Sister Eileen,No,Yes
1942,Teresa Wright,The Pride of the Yankees,No,Yes
1943,Jennifer Jones,The Song of Bernadette,Yes,Yes
1943,Jean Arthur,The More the Merrier,No,Yes
1943,Ingrid Bergman,For Whom the Bell Tolls,No,Yes
1943,Joan Fontaine,The Constant Nymph,No,Yes
1943,Greer Garson,Madame Curie,No,Yes
1944,Ingrid Bergman,Gaslight,Yes,Yes
1944,Claudette Colbert,Since You Went Away,No,Yes
1944,Bette Davis,Mr. Skeffington,No,Yes
1944,Greer Garson,Mrs. Parkington,No,Yes
1944,Barbara Stanwyck,Double Indemnity,No,Yes
1945,Joan Crawford,Mildred Pierce,Yes,Yes
1945,Ingrid Bergman,The Bells of St. Mary's,No,Yes
1945,Greer Garson,The Valley of Decision,No,Yes
1945,Jennifer Jones,Love Letters,No,Yes
1945,Gene Tierney,Leave Her to Heaven,No,Yes
1946,Olivia de Havilland,To Each His Own,Yes,Yes
1946,Celia Johnson,Brief Encounter,No,Yes
1946,Jennifer Jones,Duel in the Sun,No,Yes
1946,Rosalind Russell,Sister Kenny,No,Yes
1946,Jane Wyman,The Yearling,No,Yes
1947,Loretta Young,The Farmer's Daughter,Yes,Yes
1947,Joan Crawford,Possessed,No,Yes
1947,Susan Hayward,"Smash-Up, the Story of a Woman",No,Yes
1947,Dorothy McGuire,Gentleman's Agreement,No,Yes
1947,Rosalind Russell,Mourning Becomes Electra,No,Yes
1948,Jane Wyman,Johnny Belinda,Yes,Yes
1948,Ingrid Bergman,Joan of Arc,No,Yes
1948,Olivia de Havilland,The Snake Pit,No,Yes
1948,Irene Dunne,I Remember Mama,No,Yes
1948,Barbara Stanwyck,"Sorry, Wrong Number",No,Yes
1949,Olivia de Havilland,The Heiress,Yes,Yes
1949,Jeanne Crain,Pinky,No,Yes
1949,Susan Hayward,My Foolish Heart,No,Yes
1949,Deborah Kerr,"Edward, My Son",No,Yes
1949,Loretta Young,Come to the Stable,No,Yes
1950,Judy Holliday,Born Yesterday,Yes,Yes
1950,Anne Baxter,All About Eve,No,Yes
1950,Anne Baxter,Margo Channing,No,Yes
1950,Eleanor Parker,Caged,No,Yes
1950,Gloria Swanson,Sunset Boulevard,No,Yes
1951,Vivien Leigh,A Streetcar Named Desire,Yes,Yes
1951,Katharine Hepburn,The African Queen,No,Yes
1951,Eleanor Parker,Detective Story,No,Yes
1951,Shelley Winters,A Place in the Sun,No,Yes
1951,Jane Wyman,The Blue Veil,No,Yes
1952,Shirley Booth,"Come Back, Little Sheba",Yes,Yes
1952,Joan Crawford,Sudden Fear,No,Yes
1952,Bette Davis,The Star,No,Yes
1952,Julie Harris,The Member of the Wedding,No,Yes
1952,Susan Hayward,With a Song in My Heart,No,Yes
1953,Audrey Hepburn,Roman Holiday,Yes,Yes
1953,Leslie Caron,Lili,No,Yes
1953,Ava Gardner,Mogambo,No,Yes
1953,Deborah Kerr,From Here to Eternity,No,Yes
1953,Maggie McNamara,The Moon Is Blue,No,Yes
1954,Grace Kelly,The Country Girl,Yes,Yes
1954,Dorothy Dandridge,Carmen Jones,No,Yes
1954,Judy Garland,A Star Is Born,No,Yes
1954,Audrey Hepburn,Sabrina,No,Yes
1954,Jane Wyman,Magnificent Obsession,No,Yes
1955,Anna Magnani,The Rose Tattoo,Yes,Yes
1955,Susan Hayward,I'll Cry Tomorrow,No,Yes
1955,Katharine Hepburn,Summertime,No,Yes
1955,Jennifer Jones,Love is a Many-Splendored Thing,No,Yes
1955,Eleanor Parker,Interrupted Melody,No,Yes
1956,Ingrid Bergman,Anastasia,Yes,Yes
1956,Carroll Baker,Baby Doll,No,Yes
1956,Katharine Hepburn,The Rainmaker,No,Yes
1956,Nancy Kelly,The Bad Seed,No,Yes
1956,Deborah Kerr,The King and I,No,Yes
1957,Joanne Woodward,The Three Faces of Eve,Yes,Yes
1957,Deborah Kerr,"Heaven Knows, Mr. Allison",No,Yes
1957,Anna Magnani,Wild Is the Wind,No,Yes
1957,Elizabeth Taylor,Raintree County,No,Yes
1957,Lana Turner,Peyton Place,No,Yes
1958,Susan Hayward,I Want to Live!,Yes,Yes
1958,Deborah Kerr,Separate Tables,No,Yes
1958,Shirley MacLaine,Some Came Running,No,Yes
1958,Rosalind Russell,Auntie Mame,No,Yes
1958,Elizabeth Taylor,Cat on a Hot Tin Roof,No,Yes
1959,Simone Signoret,Room at the Top,Yes,Yes
1959,Doris Day,Pillow Talk,No,Yes
1959,Audrey Hepburn,The Nun's Story,No,Yes
1959,Katharine Hepburn,"Suddenly, Last Summer",No,Yes
1959,Katharine Hepburn,Catherine Holly,No,Yes
1960,Elizabeth Taylor,BUtterfield 8,Yes,Yes
1960,Greer Garson,Sunrise at Campobello,No,Yes
1960,Deborah Kerr,The Sundowners,No,Yes
1960,Shirley MacLaine,The Apartment,No,Yes
1960,Melina Mercouri,Never on Sunday,No,Yes
1961,Sophia Loren,Two Women[39],Yes,Yes
1961,Audrey Hepburn,Breakfast at Tiffany's,No,Yes
1961,Piper Laurie,The Hustler,No,Yes
1961,Geraldine Page,Summer and Smoke,No,Yes
1961,Natalie Wood,Splendor in the Grass,No,Yes
1962,Anne Bancroft,The Miracle Worker,Yes,Yes
1962,Bette Davis,What Ever Happened to Baby Jane?,No,Yes
1962,Katharine Hepburn,Long Day's Journey into Night,No,Yes
1962,Geraldine Page,Sweet Bird of Youth,No,Yes
1962,Lee Remick,Days of Wine and Roses,No,Yes
1963,Patricia Neal,Hud,Yes,Yes
1963,Leslie Caron,The L-Shaped Room,No,Yes
1963,Shirley MacLaine,Irma la Douce,No,Yes
1963,Rachel Roberts,This Sporting Life,No,Yes
1963,Natalie Wood,Love with the Proper Stranger,No,Yes
1964,Julie Andrews,Mary Poppins,Yes,Yes
1964,Anne Bancroft,The Pumpkin Eater,No,Yes
1964,Sophia Loren,Marriage Italian Style,No,Yes
1964,Debbie Reynolds,The Unsinkable Molly Brown,No,Yes
1964,Kim Stanley,Séance on a Wet Afternoon,No,Yes
1965,Julie Christie,Darling,Yes,Yes
1965,Julie Andrews,The Sound of Music,No,Yes
1965,Samantha Eggar,The Collector,No,Yes
1965,Elizabeth Hartman,A Patch of Blue,No,Yes
1965,Simone Signoret,Ship of Fools,No,Yes
1966,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Yes,Yes
1966,Anouk Aimée,A Man and a Woman,No,Yes
1966,Ida Kamińska,The Shop on Main Street,No,Yes
1966,Lynn Redgrave,Georgy Girl,No,Yes
1966,Vanessa Redgrave,Morgan!,No,Yes
1967,Katharine Hepburn,Guess Who's Coming to Dinner,Yes,Yes
1967,Anne Bancroft,The Graduate,No,Yes
1967,Faye Dunaway,Bonnie and Clyde,No,Yes
1967,Edith Evans,The Whisperers,No,Yes
1967,Audrey Hepburn,Wait Until Dark,No,Yes
1968,Katharine Hepburn,The Lion in Winter,Yes,Yes
1968,Barbra Streisand,Funny Girl,Yes,Yes
1968,Patricia Neal,The Subject Was Roses,No,Yes
1968,Vanessa Redgrave,Isadora,No,Yes
1968,Joanne Woodward,"Rachel, Rachel",No,Yes
1969,Maggie Smith,The Prime of Miss Jean Brodie,Yes,Yes
1969,Geneviève Bujold,Anne of the Thousand Days,No,Yes
1969,Jane Fonda,"They Shoot Horses, Don't They?",No,Yes
1969,Liza Minnelli,The Sterile Cuckoo,No,Yes
1969,Jean Simmons,The Happy Ending,No,Yes
1970,Glenda Jackson,Women in Love,Yes,Yes
1970,Jane Alexander,The Great White Hope,No,Yes
1970,Ali MacGraw,Love Story,No,Yes
1970,Sarah Miles,Ryan's Daughter,No,Yes
1970,Carrie Snodgress,Diary of a Mad Housewife,No,Yes
1971,Jane Fonda,Klute,Yes,Yes
1971,Julie Christie,McCabe & Mrs. Miller,No,Yes
1971,Glenda Jackson,Sunday Bloody Sunday,No,Yes
1971,Vanessa Redgrave,"Mary, Queen of Scots",No,Yes
1971,Janet Suzman,Nicholas and Alexandra,No,Yes
1972,Liza Minnelli,Cabaret,Yes,Yes
1972,Diana Ross,Lady Sings the Blues,No,Yes
1972,Maggie Smith,Travels with My Aunt,No,Yes
1972,Cicely Tyson,Sounder,No,Yes
1972,Liv Ullmann,The Emigrants,No,Yes
1973,Glenda Jackson,A Touch of Class,Yes,Yes
1973,Ellen Burstyn,The Exorcist,No,Yes
1973,Marsha Mason,Cinderella Liberty,No,Yes
1973,Barbra Streisand,The Way We Were,No,Yes
1973,Joanne Woodward,"Summer Wishes, Winter Dreams",No,Yes
1974,Ellen Burstyn,Alice Doesn't Live Here Anymore,Yes,Yes
1974,Diahann Carroll,Claudine,No,Yes
1974,Faye Dunaway,Chinatown,No,Yes
1974,Valerie Perrine,Lenny,No,Yes
1974,Gena Rowlands,A Woman Under the Influence,No,Yes
