Title,Year,Winner,Nominated
Wings,1928,Yes,Yes
7th Heaven,1928,No,Yes
The Racket,1928,No,Yes
The Broadway Melody,1929,Yes,Yes
Alibi,1929,No,Yes
The Hollywood Revue,1929,No,Yes
In Old Arizona,1929,No,Yes
The Patriot,1929,No,Yes
All Quiet on the Western Front,1930,Yes,Yes
The Big House,1930,No,Yes
Disraeli,1930,No,Yes
The Divorcee,1930,No,Yes
The Love Parade,1930,No,Yes
Cimarron,1931,Yes,Yes
East Lynne,1931,No,Yes
The Front Page,1931,No,Yes
Skippy,1931,No,Yes
Trader Horn,1931,No,Yes
Grand Hotel,1932,Yes,Yes
Arrowsmith,1932,No,Yes
Bad Girl,1932,No,Yes
The Champ,1932,No,Yes
Five Star Final,1932,No,Yes
One Hour with You,1932,No,Yes
Shanghai Express,1932,No,Yes
The Smiling Lieutenant,1932,No,Yes
Cavalcade,1933,Yes,Yes
42nd Street,1933,No,Yes
A Farewell to Arms,1933,No,Yes
I Am a Fugitive from a Chain Gang,1933,No,Yes
Lady for a Day,1933,No,Yes
Little Women,1933,No,Yes
The Private Life of Henry VIII,1933,No,Yes
She Done Him Wrong,1933,No,Yes
Smilin' Through,1933,No,Yes
State Fair,1933,No,Yes
It Happened One Night,1934,Yes,Yes
The Barretts of Wimpole Street,1934,No,Yes
Cleopatra,1934,No,Yes
Flirtation Walk,1934,No,Yes
The Gay Divorcee,1934,No,Yes
Here Comes the Navy,1934,No,Yes
The House of Rothschild,1934,No,Yes
Imitation of Life,1934,No,Yes
One Night of Love,1934,No,Yes
The Thin Man,1934,No,Yes
Viva Villa!,1934,No,Yes
The White Parade,1934,No,Yes
Mutiny on the Bounty,1935,Yes,Yes
Alice Adams,1935,No,Yes
Broadway Melody of 1936,1935,No,Yes
Captain Blood,1935,No,Yes
David Copperfield,1935,No,Yes
The Informer,1935,No,Yes
The Lives of a Bengal Lancer,1935,No,Yes
A Midsummer Night's Dream,1935,No,Yes
Les Misérables,1935,No,Yes
Naughty Marietta,1935,No,Yes
Ruggles of Red Gap,1935,No,Yes
Top Hat,1935,No,Yes
The Great Ziegfeld,1936,Yes,Yes
Anthony Adverse,1936,No,Yes
Dodsworth,1936,No,Yes
Libeled Lady,1936,No,Yes
