Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Joker,2019,"['Crime', 'Thriller', 'Drama']",8.1,26975,55000000,1078958629,475557
Avengers: Endgame,2019,"['Adventure', 'Science Fiction', 'Action']",8.237,26930,356000000,2799439100,299534
Parasite,2019,"['Comedy', 'Thriller', 'Drama']",8.5,19707,11363000,257591776,496243
Spider-Man: Far From Home,2019,"['Action', 'Adventure', 'Science Fiction']",7.4,16451,160000000,1131927996,429617
Captain Marvel,2019,"['Action', 'Adventure', 'Science Fiction']",6.791,16352,152000000,1131416446,299537
Once Upon a Time... in Hollywood,2019,"['Comedy', 'Drama', 'Thriller']",7.4,14286,95000000,392105159,466272
Knives Out,2019,"['Comedy', 'Crime', 'Mystery']",7.8,13230,40000000,312897920,546554
1917,2019,"['War', 'History', 'Drama', 'Action']",8.0,13092,100000000,446064352,530915
John Wick: Chapter 3 - Parabellum,2019,"['Action', 'Thriller', 'Crime']",7.444,11312,55000000,326709727,458156
The Lion King,2019,"['Adventure', 'Drama', 'Family', 'Animation']",7.103,10554,260000000,1662020819,420818
Star Wars: The Rise of Skywalker,2019,"['Adventure', 'Action', 'Science Fiction']",6.279,10448,489900000,1074144248,181812
Aladdin,2019,"['Adventure', 'Fantasy', 'Romance', 'Family']",7.093,10398,183000000,1097831681,420817
Toy Story 4,2019,"['Family', 'Comedy', 'Animation', 'Adventure']",7.5,10222,175000000,1073841394,301528
Frozen II,2019,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",7.242,10062,150000000,1453683476,330457
Jojo Rabbit,2019,"['Comedy', 'War', 'Drama']",7.995,10055,14000000,82468705,515001
Shazam!,2019,"['Action', 'Comedy', 'Fantasy']",6.985,9941,80000000,367799011,287947
Alita: Battle Angel,2019,"['Action', 'Science Fiction', 'Adventure']",7.244,9669,170000000,405000000,399579
It Chapter Two,2019,"['Horror', 'Thriller']",6.838,9241,79000000,473123154,474350
Jumanji: The Next Level,2019,"['Adventure', 'Comedy', 'Fantasy']",6.886,9074,125000000,801693929,512200
Glass,2019,"['Thriller', 'Drama', 'Science Fiction']",6.664,8837,20000000,246999039,450465
Ford v Ferrari,2019,"['Drama', 'Action', 'History']",8.0,8590,97600000,225508210,359724
After,2019,"['Romance', 'Drama']",7.115,8434,14000000,69497587,537915
Us,2019,"['Horror', 'Mystery']",7.0,7798,20000000,256067149,458723
Midsommar,2019,"['Horror', 'Drama', 'Mystery']",7.153,7715,9000000,48498408,530385
The Platform,2019,"['Drama', 'Science Fiction', 'Thriller']",6.968,7575,1203235,1090116,619264
Fast & Furious Presents: Hobbs & Shaw,2019,"['Action', 'Adventure', 'Comedy']",6.8,7543,200000000,760098996,384018
The Irishman,2019,"['Crime', 'Drama', 'History']",7.6,7225,159000000,968853,398978
Marriage Story,2019,['Drama'],7.732,7211,18000000,333686,492188
Pokémon Detective Pikachu,2019,"['Action', 'Adventure', 'Fantasy']",6.912,7154,150000000,449762638,447404
Ad Astra,2019,"['Science Fiction', 'Drama']",6.1,6966,87500000,127461872,419704
How to Train Your Dragon: The Hidden World,2019,"['Animation', 'Family', 'Adventure']",7.7,6857,129000000,539987993,166428
Dark Phoenix,2019,"['Science Fiction', 'Action', 'Adventure']",5.962,6846,200000000,252442974,320288
Little Women,2019,"['Drama', 'Romance', 'History']",7.86,6593,40000000,216600000,331482
Godzilla: King of the Monsters,2019,"['Science Fiction', 'Action']",6.695,6470,170000000,387300138,373571
