Title,Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
Batman Begins,2005,"['Drama', 'Crime', 'Action']",7.718,21973,150000000,374218673,272
Harry Potter and the Goblet of Fire,2005,"['Adventure', 'Fantasy']",7.8,21590,150000000,895921036,674
Charlie and the Chocolate Factory,2005,"['Adventure', 'Comedy', 'Family', 'Fantasy']",7.04,15751,150000000,475000000,118
Star Wars: Episode III - Revenge of the Sith,2005,"['Adventure', 'Action', 'Science Fiction']",7.455,14466,113000000,850000000,1895
Madagascar,2005,"['Family', 'Animation', 'Adventure', 'Comedy']",6.915,11361,75000000,542064525,953
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"['Adventure', 'Family', 'Fantasy']",7.136,11156,180000000,745013115,411
Mr. & Mrs. Smith,2005,"['Action', 'Comedy', 'Drama', 'Thriller']",6.687,10881,110000000,487287646,787
Corpse Bride,2005,"['Romance', 'Fantasy', 'Animation']",7.583,9880,40000000,118133252,3933
Fantastic Four,2005,"['Action', 'Fantasy', 'Science Fiction']",5.8,9749,100000000,333535934,9738
War of the Worlds,2005,"['Adventure', 'Thriller', 'Science Fiction']",6.527,8836,132000000,603873119,74
Sin City,2005,"['Crime', 'Thriller']",7.462,8540,40000000,158733820,187
Pride & Prejudice,2005,"['Drama', 'Romance']",8.058,8475,28000000,124604345,4348
King Kong,2005,"['Adventure', 'Drama', 'Action']",6.887,8255,207000000,562363449,254
Constantine,2005,"['Fantasy', 'Action', 'Horror']",7.116,7700,100000000,230900000,561
Brokeback Mountain,2005,"['Drama', 'Romance']",7.785,7338,14000000,178043761,142
The 40 Year Old Virgin,2005,"['Comedy', 'Romance']",6.415,7007,26000000,177400000,6957
Hitch,2005,"['Comedy', 'Drama', 'Romance']",6.572,6036,70000000,371600000,8488
Saw II,2005,['Horror'],6.6,5674,4000000,152925093,215
The Island,2005,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",6.687,5664,126000000,162949164,1635
Lord of War,2005,"['Crime', 'Drama', 'Thriller']",7.337,5100,50000000,72600000,1830
Robots,2005,"['Animation', 'Comedy', 'Family', 'Science Fiction']",6.474,4784,75000000,262511490,9928
Kingdom of Heaven,2005,"['Drama', 'Action', 'Adventure', 'History', 'War']",7.004,4672,130000000,218366336,1495
Wedding Crashers,2005,"['Comedy', 'Romance']",6.494,4562,40000000,288500000,9522
Match Point,2005,"['Drama', 'Romance', 'Thriller']",7.4,4238,15000000,85638656,116
The Descent,2005,"['Adventure', 'Horror']",6.973,4202,3500000,57130027,9392
The Hitchhiker's Guide to the Galaxy,2005,"['Adventure', 'Comedy', 'Science Fiction']",6.68,4071,50000000,104500000,7453
Chicken Little,2005,"['Animation', 'Family', 'Comedy']",5.902,4054,150000000,314400000,9982
Transporter 2,2005,"['Action', 'Thriller', 'Crime']",6.317,3799,32000000,89100000,9335
Serenity,2005,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.364,3714,39000000,38869464,16320
Crash,2005,['Drama'],7.213,3704,6500000,98400000,1640
The Longest Yard,2005,"['Drama', 'Comedy', 'Crime']",6.667,3555,90000000,191466556,9291
A History of Violence,2005,"['Drama', 'Thriller', 'Crime']",7.2,3529,32000000,61477797,59
Zathura: A Space Adventure,2005,"['Science Fiction', 'Adventure', 'Family']",6.429,3446,65000000,65079104,6795
Memoirs of a Geisha,2005,"['Drama', 'Romance', 'History']",7.651,3260,85000000,162242962,1904
House of Wax,2005,"['Mystery', 'Horror', 'Thriller']",6.018,3210,40000000,68766121,10066
The Pacifier,2005,"['Comedy', 'Family', 'Action']",6.072,3154,56000000,198636868,10022
Coach Carter,2005,"['Drama', 'History']",7.575,3154,30000000,76669554,7214
