,Movie_Title,Release_Year,Genre,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID
0,Avengers: Age of Ultron,2015,"['Action', 'Adventure', 'Science Fiction']",7.271,23847,365000000,1405403694,99861
1,Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Science Fiction']",7.627,23503,150000000,378858340,76341
2,Inside Out,2015,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",7.91,22917,175000000,857611174,150540
3,Jurassic World,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6.7,21094,150000000,1671537444,135397
4,The Martian,2015,"['Drama', 'Adventure', 'Science Fiction']",7.69,20579,108000000,631058917,286217
5,Ant-Man,2015,"['Science Fiction', 'Action', 'Adventure']",7.067,20416,130000000,519311965,102899
6,Star Wars: The Force Awakens,2015,"['Adventure', 'Action', 'Science Fiction']",7.255,20067,245000000,2068223624,140607
7,The Revenant,2015,"['Western', 'Drama', 'Adventure']",7.537,18777,135000000,532950503,281957
8,Kingsman: The Secret Service,2015,"['Crime', 'Comedy', 'Action', 'Adventure']",7.6,17383,81000000,414351546,207703
9,The Hateful Eight,2015,"['Drama', 'Mystery', 'Western']",7.756,14806,44000000,155760117,273248
10,Ex Machina,2015,"['Drama', 'Science Fiction']",7.57,13814,15000000,36869414,264660
11,The Hunger Games: Mockingjay - Part 2,2015,"['Action', 'Adventure', 'Science Fiction']",6.899,13017,160000000,653428261,131634
12,Fifty Shades of Grey,2015,"['Drama', 'Romance', 'Thriller']",5.879,12160,40000000,569651467,216015
13,Furious 7,2015,"['Action', 'Crime', 'Thriller']",7.223,11013,190000000,1515400000,168259
14,Spectre,2015,"['Action', 'Adventure', 'Thriller']",6.6,10912,245000000,880707597,206647
15,Minions,2015,"['Family', 'Animation', 'Adventure', 'Comedy']",6.416,10877,74000000,1159457503,211672
16,Maze Runner: The Scorch Trials,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",6.733,10761,61000000,312296056,294254
17,Insurgent,2015,"['Action', 'Science Fiction', 'Thriller']",6.364,10235,110000000,297002527,262500
18,The Big Short,2015,"['Comedy', 'Drama']",7.358,9475,28000000,133346506,318846
19,Room,2015,"['Drama', 'Thriller']",7.998,9474,13000000,35401758,264644
20,Mission: Impossible - Rogue Nation,2015,"['Action', 'Adventure']",7.2,9379,150000000,682716636,177677
21,Sicario,2015,"['Action', 'Crime', 'Thriller']",7.415,9177,30000000,84997446,273481
22,San Andreas,2015,"['Action', 'Drama', 'Thriller']",6.245,8817,110000000,473990832,254128
23,Terminator Genisys,2015,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",5.946,8725,155000000,440603537,87101
24,Spotlight,2015,"['Drama', 'History']",7.813,8536,20000000,98690254,314365
25,Chappie,2015,"['Crime', 'Action', 'Science Fiction']",6.785,8226,49000000,104399548,198184
26,Focus,2015,"['Romance', 'Comedy', 'Crime']",6.871,8093,50100000,153962963,256591
27,Pixels,2015,"['Action', 'Comedy', 'Science Fiction', 'Fantasy']",5.8,7825,88000000,244900000,257344
28,Ted 2,2015,"['Comedy', 'Fantasy']",6.3,7788,68000000,215863606,214756
29,Creed,2015,"['Drama', 'Action']",7.408,7734,37000000,173600000,312221
30,Cinderella,2015,"['Romance', 'Fantasy', 'Family', 'Drama']",6.827,7246,95000000,543514353,150689
31,Tomorrowland,2015,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",6.3,7194,190000000,209200000,158852
32,Bridge of Spies,2015,"['Thriller', 'Drama']",7.236,7078,40000000,165478348,296098
33,The Intern,2015,['Comedy'],7.225,7068,35000000,194564672,257211
34,Jupiter Ascending,2015,"['Science Fiction', 'Fantasy', 'Action']",5.459,6930,176000000,184000000,76757
35,The Age of Adaline,2015,"['Romance', 'Fantasy', 'Drama']",7.5,6928,25000000,65663276,293863
36,It Follows,2015,"['Horror', 'Mystery']",6.59,6688,2300000,23374076,270303
37,The Man from U.N.C.L.E.,2015,"['Comedy', 'Action', 'Adventure']",7.082,6622,75000000,110045109,203801
38,The Lobster,2015,"['Comedy', 'Drama', 'Romance']",7.0,6606,4000000,15700000,254320
39,Fantastic Four,2015,"['Action', 'Adventure', 'Science Fiction']",4.433,6262,120000000,167977596,166424
40,Spy,2015,"['Action', 'Comedy', 'Crime']",6.833,6227,65000000,235666219,238713
41,Hotel Transylvania 2,2015,"['Animation', 'Comedy', 'Family', 'Fantasy']",6.8,5965,80000000,473200000,159824
42,The Danish Girl,2015,['Drama'],7.558,5865,15000000,64200000,306819
43,The Good Dinosaur,2015,"['Adventure', 'Animation', 'Family']",6.739,5829,175000000,332207671,105864
44,Southpaw,2015,"['Action', 'Drama']",7.365,5654,30000000,91709827,307081
45,Pitch Perfect 2,2015,"['Comedy', 'Music']",6.844,5420,29000000,287144079,254470
46,Paper Towns,2015,"['Mystery', 'Drama', 'Romance']",6.155,5121,12000000,85500000,286565
47,Crimson Peak,2015,"['Horror', 'Mystery', 'Romance']",6.7,5109,55000000,74700000,201085
48,Everest,2015,"['Adventure', 'Drama', 'History']",6.827,5077,55000000,203427584,253412
49,The Visit,2015,"['Horror', 'Thriller']",6.321,4978,5000000,98450062,298312
50,The DUFF,2015,"['Romance', 'Comedy']",6.766,4424,8500000,43528634,272693
51,Steve Jobs,2015,"['Drama', 'History']",6.8,4259,30000000,34400000,321697
52,In the Heart of the Sea,2015,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",6.8,4243,100000000,93900000,205775
53,Joy,2015,"['Drama', 'Comedy']",6.551,4205,60000000,101134059,274479
54,Home,2015,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",6.792,4123,135000000,368871007,228161
55,Legend,2015,"['Crime', 'Thriller']",7.055,4106,25000000,42972994,276907
56,Straight Outta Compton,2015,"['Drama', 'Music', 'History']",7.783,4075,28000000,201634991,277216
57,Goosebumps,2015,"['Adventure', 'Horror', 'Comedy']",6.3,3895,58000000,158261424,257445
58,Vacation,2015,"['Comedy', 'Adventure']",6.303,3860,31000000,104400000,296099
59,Carol,2015,"['Romance', 'Drama']",7.494,3844,11800000,40272135,258480
60,The Last Witch Hunter,2015,"['Action', 'Adventure', 'Fantasy']",6.004,3734,90000000,146936910,274854
61,Insidious: Chapter 3,2015,"['Horror', 'Thriller']",6.283,3500,10000000,120453155,280092
62,Black Mass,2015,"['Drama', 'Crime', 'History']",6.524,3483,53000000,99975678,261023
63,Burnt,2015,['Drama'],6.515,3471,20000000,36606743,295964
64,Knock Knock,2015,"['Horror', 'Thriller']",5.391,3370,10000000,6341684,263472
65,The Gift,2015,"['Thriller', 'Mystery', 'Drama']",6.695,3369,5000000,58978653,328425
66,Daddy's Home,2015,['Comedy'],6.292,3321,50000000,242786137,274167
67,The Walk,2015,"['History', 'Drama', 'Adventure']",6.995,3296,35000000,61181942,285783
68,The Longest Ride,2015,"['Drama', 'Romance']",7.627,3254,34000000,63013281,228205
69,Self/less,2015,"['Science Fiction', 'Action', 'Thriller']",6.412,3209,26000000,31807156,238615
70,Brooklyn,2015,"['Romance', 'Drama', 'History']",7.31,3186,11000000,62076141,167073
71,Hitman: Agent 47,2015,"['Action', 'Crime', 'Thriller']",5.886,3176,35000000,81967450,249070
72,Run All Night,2015,"['Action', 'Crime', 'Thriller']",6.427,2889,50000000,71561644,241554
73,The Little Prince,2015,"['Adventure', 'Animation', 'Fantasy', 'Family']",7.611,2886,64000000,97571250,309809
74,American Ultra,2015,"['Action', 'Comedy']",6.09,2873,28000000,27100000,261392
75,Get Hard,2015,['Comedy'],6.0,2806,40000000,111800000,257091
76,Pan,2015,"['Fantasy', 'Adventure', 'Family', 'Action']",5.957,2791,150000000,128388320,266647
77,Project Almanac,2015,"['Science Fiction', 'Thriller']",6.787,2741,12000000,33200000,227719
78,Mortdecai,2015,"['Comedy', 'Adventure']",5.515,2701,60000000,47318560,210860
79,Me and Earl and the Dying Girl,2015,"['Drama', 'Comedy']",7.53,2672,0,0,308369
80,Trainwreck,2015,"['Comedy', 'Romance']",5.797,2656,35000000,140795793,271718
81,Concussion,2015,['Drama'],7.079,2649,35000000,50400000,321741
82,No Escape,2015,"['Thriller', 'Action']",6.947,2636,5000000,54400000,192141
83,Love,2015,"['Drama', 'Romance']",6.449,2594,3000000,249083,292431
84,Hardcore Henry,2015,"['Action', 'Adventure', 'Science Fiction']",6.392,2547,2000000,16810562,325348
85,The SpongeBob Movie: Sponge Out of Water,2015,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",6.089,2451,74000000,311594032,228165
86,Descendants,2015,"['Family', 'Adventure', 'Fantasy', 'TV Movie', 'Music']",7.149,2444,0,0,277217
87,Irrational Man,2015,"['Drama', 'Comedy']",6.525,2425,11000000,27391084,282984
88,Bone Tomahawk,2015,"['Western', 'Horror', 'Drama']",6.875,2412,1800000,475846,294963
89,We Are Your Friends,2015,"['Drama', 'Music', 'Romance', 'Comedy']",6.786,2400,6000000,11100000,301351
90,Point Break,2015,"['Action', 'Adventure', 'Crime', 'Thriller']",5.955,2377,105000000,133782481,257088
91,Poltergeist,2015,['Horror'],5.219,2347,35000000,95682614,243688
92,Solace,2015,"['Thriller', 'Crime', 'Mystery']",6.4,2310,0,22586863,339527
93,Krampus,2015,"['Horror', 'Comedy', 'Fantasy']",6.191,2302,15000000,61800000,287903
94,Sinister 2,2015,['Horror'],5.883,2223,10000000,53329150,283445
95,Victor Frankenstein,2015,"['Drama', 'Science Fiction', 'Thriller']",5.949,2201,40000000,34200000,228066
96,Youth,2015,"['Comedy', 'Drama', 'Romance']",6.896,2143,13360000,2000000,310593
97,Blackhat,2015,"['Crime', 'Thriller', 'Action']",5.5,2117,70000000,17752940,201088
98,Aloha,2015,"['Drama', 'Comedy', 'Romance']",5.513,2109,37000000,26250020,222936
99,The Boy Next Door,2015,['Thriller'],4.918,2087,4000000,52425855,241251
100,Deadpool,2016,"['Action', 'Adventure', 'Comedy']",7.623,32058,58000000,782837347,293660
101,Captain America: Civil War,2016,"['Adventure', 'Action', 'Science Fiction']",7.448,23511,250000000,1155046416,271110
102,Doctor Strange,2016,"['Fantasy', 'Adventure', 'Action']",7.418,22908,180000000,676343174,284052
103,Suicide Squad,2016,"['Action', 'Adventure', 'Fantasy']",5.92,21698,175000000,749200054,297761
104,Fantastic Beasts and Where to Find Them,2016,"['Fantasy', 'Adventure']",7.31,19326,180000000,809342332,259316
105,Arrival,2016,"['Drama', 'Science Fiction', 'Mystery']",7.622,18701,47000000,203388186,329865
106,Batman v Superman: Dawn of Justice,2016,"['Action', 'Adventure', 'Fantasy']",5.987,18589,250000000,874362803,209112
107,La La Land,2016,"['Comedy', 'Drama', 'Romance']",7.898,17616,30000000,509183536,313369
108,Zootopia,2016,"['Animation', 'Adventure', 'Family', 'Comedy']",7.751,17058,150000000,1025521689,269149
109,Rogue One: A Star Wars Story,2016,"['Action', 'Adventure', 'Science Fiction']",7.503,15957,200000000,1056057273,330459
110,Hacksaw Ridge,2016,"['Drama', 'History', 'War']",8.192,14412,40000000,175302354,324786
111,Passengers,2016,"['Drama', 'Romance', 'Science Fiction']",6.952,13841,110000000,303144152,274870
112,X-Men: Apocalypse,2016,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",6.518,13435,178000000,543934787,246655
113,Moana,2016,"['Adventure', 'Comedy', 'Family', 'Animation']",7.6,13376,150000000,690860472,277834
114,Me Before You,2016,"['Drama', 'Romance']",7.925,12875,20000000,207945075,296096
115,Finding Dory,2016,"['Adventure', 'Animation', 'Comedy', 'Family']",7.04,12425,200000000,1029266989,127380
116,Your Name.,2016,"['Animation', 'Romance', 'Drama']",8.478,12091,0,358000000,372058
117,Now You See Me 2,2016,"['Thriller', 'Crime']",6.825,11139,120000000,334897606,291805
118,Miss Peregrine's Home for Peculiar Children,2016,"['Fantasy', 'Adventure', 'Drama', 'Family']",6.837,10281,110000000,296482446,283366
119,Hidden Figures,2016,"['Drama', 'History']",8.05,10158,25000000,235957472,381284
120,The Conjuring 2,2016,['Horror'],7.294,8930,40000000,322819915,259693
121,10 Cloverfield Lane,2016,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",6.994,8355,15000000,110216998,333371
122,The Secret Life of Pets,2016,"['Family', 'Comedy', 'Adventure', 'Animation']",6.308,8329,75000000,875457937,328111
123,The Nice Guys,2016,"['Comedy', 'Crime', 'Action']",7.1,8320,50000000,71261763,290250
124,The Jungle Book,2016,"['Family', 'Adventure', 'Fantasy']",6.866,8314,175000000,966550600,278927
125,Sing,2016,"['Family', 'Comedy', 'Music', 'Animation']",7.12,8248,75000000,634151679,335797
126,Nocturnal Animals,2016,"['Drama', 'Thriller']",7.42,8068,22500000,29300000,340666
127,Train to Busan,2016,"['Horror', 'Thriller', 'Action', 'Adventure']",7.749,8036,8500000,87547518,396535
128,Assassin's Creed,2016,"['Action', 'Adventure', 'Science Fiction']",5.428,7946,125000000,240700000,121856
129,Don't Breathe,2016,"['Horror', 'Thriller', 'Crime']",7.016,7757,9900000,158906350,300669
130,Sausage Party,2016,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",5.75,7543,19000000,140705322,223702
131,Sully,2016,"['Drama', 'History']",7.195,7499,60000000,240800000,363676
132,The Witch,2016,"['Horror', 'Fantasy', 'Drama']",6.996,7394,4000000,40423945,310131
133,Moonlight,2016,['Drama'],7.4,7314,4000000,65046687,376867
134,Warcraft,2016,"['Action', 'Adventure', 'Fantasy']",6.389,7058,160000000,433677183,68735
135,The Accountant,2016,"['Crime', 'Thriller', 'Drama']",7.129,7048,44000000,155160045,302946
136,Nerve,2016,"['Mystery', 'Adventure', 'Crime']",7.0,6913,19000000,85241496,328387
137,Star Trek Beyond,2016,"['Action', 'Adventure', 'Science Fiction']",6.8,6871,185000000,343471816,188927
138,Allegiant,2016,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",6.107,6799,110000000,179246868,262504
139,Lion,2016,['Drama'],8.042,6793,12000000,140312928,334543
140,Captain Fantastic,2016,"['Adventure', 'Drama']",7.9,6641,5000000,23123592,334533
141,Ghostbusters,2016,"['Action', 'Fantasy', 'Comedy']",5.3,6635,144000000,229147509,43074
142,Alice Through the Looking Glass,2016,"['Adventure', 'Family', 'Fantasy']",6.6,6630,170000000,299457024,241259
143,Inferno,2016,"['Mystery', 'Thriller', 'Action']",6.085,6467,75000000,220021259,207932
144,The Legend of Tarzan,2016,"['Fantasy', 'Action', 'Adventure']",5.914,6366,180000000,356743061,258489
145,Kung Fu Panda 3,2016,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",6.918,6354,145000000,521170825,140300
146,Independence Day: Resurgence,2016,"['Action', 'Adventure', 'Science Fiction']",5.35,6277,165000000,389681935,47933
147,Manchester by the Sea,2016,['Drama'],7.548,6185,9000000,79000000,334541
148,The Magnificent Seven,2016,"['Adventure', 'Action', 'Western']",6.47,6176,90000000,162400000,333484
149,Central Intelligence,2016,"['Action', 'Comedy']",6.4,6173,50000000,216972543,302699
150,Jason Bourne,2016,"['Action', 'Adventure', 'Thriller']",6.366,5984,120000000,415484914,324668
151,The 5th Wave,2016,"['Science Fiction', 'Adventure', 'Action']",5.938,5890,38000000,109906372,299687
152,The Girl on the Train,2016,"['Crime', 'Mystery', 'Thriller']",6.441,5878,45000000,173200000,346685
153,Collateral Beauty,2016,"['Drama', 'Romance']",7.218,5479,36000000,88528280,345920
154,The Purge: Election Year,2016,"['Action', 'Horror', 'Thriller']",6.384,5388,10000000,118587880,316727
155,The Great Wall,2016,"['Action', 'Adventure', 'Fantasy']",6.028,5375,150000000,331957105,311324
156,War Dogs,2016,"['Comedy', 'Crime', 'Drama']",6.927,5236,50000000,86234523,308266
157,The Founder,2016,"['Drama', 'History']",7.134,5220,15000000,24121245,310307
158,The Shallows,2016,"['Horror', 'Drama', 'Thriller']",6.351,5215,17000000,119100758,332567
159,Jack Reacher: Never Go Back,2016,"['Action', 'Drama', 'Thriller', 'Crime']",5.992,5126,60000000,162100000,343611
160,London Has Fallen,2016,"['Action', 'Thriller']",6.218,4940,60000000,205754447,267860
161,The Huntsman: Winter's War,2016,"['Action', 'Adventure', 'Drama']",6.285,4932,115000000,164989338,290595
162,Ice Age: Collision Course,2016,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']",6.114,4760,105000000,408579038,278154
163,Deepwater Horizon,2016,"['Drama', 'Action']",6.886,4734,110000000,121790376,296524
164,Hush,2016,"['Horror', 'Thriller']",6.7,4723,1000000,0,376570
165,Hell or High Water,2016,"['Western', 'Crime', 'Drama']",7.302,4681,12000000,37600000,338766
166,Allied,2016,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",6.801,4661,106000000,119520023,369885
167,The Autopsy of Jane Doe,2016,"['Horror', 'Mystery']",6.826,4542,4000000,6170043,397243
168,Perfect Strangers,2016,"['Comedy', 'Drama']",7.855,4516,0,32207491,381341
169,Neighbors 2: Sorority Rising,2016,['Comedy'],5.82,4511,35000000,108007109,325133
170,Snowden,2016,"['Drama', 'History', 'Crime', 'Thriller']",7.1,4499,40000000,37357216,302401
171,Dirty Grandpa,2016,['Comedy'],5.935,4498,11500000,94100000,291870
172,Why Him?,2016,['Comedy'],6.38,4294,38000000,118102725,356305
173,A Silent Voice: The Movie,2016,"['Animation', 'Drama', 'Romance']",8.4,4266,0,30819442,378064
174,Gods of Egypt,2016,"['Action', 'Adventure', 'Fantasy']",5.686,4220,140000000,150680864,205584
175,Bad Moms,2016,['Comedy'],6.494,4175,20000000,183936074,376659
176,The Edge of Seventeen,2016,"['Comedy', 'Drama']",7.157,4159,9000000,18803648,376660
177,The Handmaiden,2016,"['Thriller', 'Drama', 'Romance']",8.2,4083,8575000,38600000,290098
178,Lights Out,2016,['Horror'],6.365,4013,4900000,149368835,345911
179,"Hail, Caesar!",2016,"['Comedy', 'Crime', 'Drama', 'Mystery']",5.9,3902,22000000,63647656,270487
180,The Boy,2016,"['Horror', 'Mystery', 'Thriller']",6.0,3859,10000000,73929392,321258
181,The Angry Birds Movie,2016,"['Animation', 'Adventure', 'Comedy', 'Family']",6.246,3843,73000000,349779543,153518
182,The Neon Demon,2016,"['Horror', 'Thriller']",6.51,3840,7000000,3400000,301365
